Genes,Pathways
ZNF746,path:hsa05168
RPL7A,path:hsa05171;path:hsa03010;WP477
HSD3B1,path:hsa04927;path:hsa04925;path:hsa04934;path:hsa00140;path:hsa04913;WP2355;WP4523;WP4871;WP4756;WP496
AGPAT3,path:hsa00561;path:hsa00564;path:hsa04072;WP325
GNAO1,path:hsa04926;path:hsa04921;path:hsa05032;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04730;path:hsa04713;path:hsa04727;path:hsa05142;path:hsa04915;path:hsa04015;path:hsa05145;path:hsa05170;path:hsa04916;path:hsa04725;path:hsa05163;path:hsa04723;WP2032;WP2355;WP35;WP4312;WP4673;WP4900;WP536
TPK1,path:hsa00730;WP4297
KHK,path:hsa00051;WP690
SPRR1B,WP2877
MTHFD2L,path:hsa00670;WP2525
SEC61B,path:hsa03060;path:hsa04145;path:hsa04141;path:hsa05110
EML4,path:hsa05223;path:hsa05235;path:hsa05200;WP4255
HTR2C,path:hsa04750;path:hsa04726;path:hsa04540;path:hsa04020;path:hsa04080;WP3947;WP3944;WP3998;WP455;WP58;WP732
NR0B1,path:hsa04927;WP170
TPX2,WP2361
EFTUD2,path:hsa03040;WP411;WP4352
MAFK,WP4269
MGST3,path:hsa00480;path:hsa05225;path:hsa05418;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa05204;path:hsa05200;WP2882;WP2884;WP702
CEP170,WP4352
ABCB11,path:hsa04976;path:hsa02010;path:hsa04979;WP2289;WP2879;WP2882;WP299;WP4389
ZNF382,path:hsa05168
PYGO1,WP3658;WP4905
PPP3R1,path:hsa05020;path:hsa05022;path:hsa04660;path:hsa04921;path:hsa04662;path:hsa05235;path:hsa05031;path:hsa04724;path:hsa04114;path:hsa04659;path:hsa04658;path:hsa04310;path:hsa05010;path:hsa05014;path:hsa05166;path:hsa04720;path:hsa04922;path:hsa05417;path:hsa04360;path:hsa04370;path:hsa04625;path:hsa04020;path:hsa05152;path:hsa04924;path:hsa04010;path:hsa04650;path:hsa04380;path:hsa05170;path:hsa04022;path:hsa04218;path:hsa05163;path:hsa05167;WP1541;WP1559;WP2059;WP3414;WP382;WP428;WP4482;WP4838
PPP3CC,path:hsa05020;path:hsa05022;path:hsa04660;path:hsa04921;path:hsa04662;path:hsa05235;path:hsa05031;path:hsa04728;path:hsa04724;path:hsa04114;path:hsa04659;path:hsa04658;path:hsa04310;path:hsa05010;path:hsa05014;path:hsa05166;path:hsa04720;path:hsa04922;path:hsa05417;path:hsa04360;path:hsa04370;path:hsa04625;path:hsa04020;path:hsa05152;path:hsa04924;path:hsa04010;path:hsa04650;path:hsa04380;path:hsa05170;path:hsa04022;path:hsa04218;path:hsa05163;path:hsa05167;WP1541;WP2059;WP2447;WP3414;WP35;WP382;WP428
EIF2AK2,path:hsa05171;path:hsa05010;path:hsa04141;path:hsa04217;path:hsa05203;path:hsa05160;path:hsa05169;path:hsa05164;path:hsa05162;path:hsa05165;path:hsa05167;path:hsa05168;WP107;WP4217;WP4868;WP4880;WP619
ATP2B2,path:hsa04925;path:hsa04261;path:hsa04961;path:hsa04024;path:hsa04978;path:hsa04020;path:hsa04970;path:hsa04972;path:hsa04022;WP4698;WP4760;WP536
NNT,path:hsa00760
RUVBL1,path:hsa04310;WP2361;WP4258
ELF5,path:hsa04917;WP2817
ACADVL,path:hsa00071;WP143;WP368
UXS1,path:hsa00520
CDS1,path:hsa00564;path:hsa04070;WP4722
MTNR1B,path:hsa04713;path:hsa04080;WP247;WP3298;WP455
CCN1,WP2374;WP3888;WP516
NELFCD,WP3414
TYRP1,path:hsa04916;path:hsa00350
LZTFL1,WP4352;WP4536;WP4803
NAA40,WP702
EN2,WP2855
PPP1R18,WP3945
TENT4A,path:hsa03018
GPR12,WP455
MRE11,path:hsa03440;path:hsa04218;path:hsa03450;WP186;WP1530;WP2942;WP3878;WP4262;WP4656;WP4946;WP707
XDH,path:hsa04146;path:hsa00983;path:hsa00232;path:hsa00230;WP15;WP1995;WP3633;WP408
POLR3F,path:hsa04623;path:hsa03020;WP4022;WP4655
APPL1,path:hsa04211;path:hsa05200;path:hsa05210;WP2035;WP4216
CARNS1,path:hsa00330;path:hsa00410;path:hsa00340
PKLR,path:hsa00620;path:hsa00010;path:hsa04930;path:hsa04932;path:hsa04950;path:hsa00230;path:hsa04910;WP4018;WP4396;WP534
MIB1,path:hsa05417;WP4536
PLCE1,path:hsa00562;path:hsa04933;path:hsa04014;path:hsa04024;path:hsa04020;path:hsa04015;path:hsa04070;path:hsa05131;path:hsa05205;path:hsa04919;WP2572;WP3958;WP4223;WP4341;WP437;WP4481;WP4758
EIF4EBP3,path:hsa03013;WP107
STARD3,path:hsa04979
KIR2DS5,path:hsa04650;path:hsa04612
BPNT1,path:hsa00920
CD46,path:hsa04610;path:hsa05162;WP2806;WP558
B3GNT2,path:hsa00601;path:hsa00533;WP4286
BET1,path:hsa04130
DAGLA,path:hsa04925;path:hsa04723;WP3679;WP3869
POU2F2,path:hsa05417;path:hsa05168;WP2858;WP3995;WP706
BTK,path:hsa05340;path:hsa04611;path:hsa04662;path:hsa04664;path:hsa04380;path:hsa04064;path:hsa05169;WP127;WP1449;WP2203;WP23;WP304
RASA2,path:hsa04014;path:hsa04010;path:hsa05203;WP382;WP4217;WP4223;WP5072
PAFAH1B1,path:hsa00565;WP399;WP4352
SUMO2,path:hsa03013;path:hsa05418
HDAC3,path:hsa05034;path:hsa04613;path:hsa05203;path:hsa04919;WP2064;WP3414;WP3996;WP4533;WP4657;WP4754;WP4949
DNAJC15,WP2880;WP2882
CNR2,path:hsa04080;WP247;WP3869;WP455
CAPN11,WP185
DAAM2,path:hsa04310;WP428
MYBPH,WP524
KMT2E,path:hsa00310;WP2369
ALKBH2,WP4931
GNB5,path:hsa04926;path:hsa04151;path:hsa05032;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04062;path:hsa04014;path:hsa04713;path:hsa04727;path:hsa04371;path:hsa05200;path:hsa05170;path:hsa04725;path:hsa05163;path:hsa04723;path:hsa05167;WP2197;WP2355;WP289;WP35;WP3929;WP4172;WP4223;WP536
BMF,path:hsa05206;WP138;WP1772
ECI1,path:hsa00071;WP143;WP368
PNKD,WP4922
