Genes,Pathways
RIPK2,path:hsa05132;path:hsa04621;path:hsa05152;path:hsa05131;path:hsa04722;WP1433;WP2864;WP314;WP69
CC2D2A,WP4536;WP4656;WP4803
UQCC2,WP4921
RPL22L1,path:hsa05171;path:hsa03010
TNIK,WP4537
GDF5,path:hsa04350;path:hsa04390;path:hsa04060;WP2848
SYT11,WP2371
KAT2B,path:hsa05166;path:hsa05203;path:hsa04330;path:hsa04919;WP138;WP268;WP2882;WP3996;WP4147;WP4879;WP4942
TNIP1,path:hsa05131;WP3303
FNIP2,path:hsa04150
SLX1A,path:hsa03460
CALU,WP3413;WP3888
NPPC,path:hsa05418;path:hsa04270;path:hsa04022
IP6K2,path:hsa04070
MPG,path:hsa03410;WP4752;WP4946
GNAQ,path:hsa05022;path:hsa04750;path:hsa04611;path:hsa04929;path:hsa04928;path:hsa04927;path:hsa04925;path:hsa04921;path:hsa05135;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04934;path:hsa04935;path:hsa04911;path:hsa04730;path:hsa04918;path:hsa04062;path:hsa04912;path:hsa04971;path:hsa05010;path:hsa05146;path:hsa05016;path:hsa04540;path:hsa05143;path:hsa05017;path:hsa04720;path:hsa04713;path:hsa04922;path:hsa04071;path:hsa04261;path:hsa05142;path:hsa04961;path:hsa04371;path:hsa04915;path:hsa04270;path:hsa04020;path:hsa04924;path:hsa04015;path:hsa04970;path:hsa04972;path:hsa05200;path:hsa05170;path:hsa04916;path:hsa04022;path:hsa04725;path:hsa05163;path:hsa04723;WP2032;WP2038;WP2059;WP2355;WP289;WP35;WP3594;WP3679;WP4540;WP4659;WP4756;WP4760;WP4962;WP536;WP732;WP733
AKT3,path:hsa05223;path:hsa04611;path:hsa05220;path:hsa04660;path:hsa04510;path:hsa04929;path:hsa04926;path:hsa04151;path:hsa04923;path:hsa04920;path:hsa04662;path:hsa04664;path:hsa04666;path:hsa05132;path:hsa05135;path:hsa05235;path:hsa05230;path:hsa05231;path:hsa04728;path:hsa05218;path:hsa04931;path:hsa04932;path:hsa04933;path:hsa04935;path:hsa04066;path:hsa04630;path:hsa05415;path:hsa04213;path:hsa05222;path:hsa04062;path:hsa05221;path:hsa05226;path:hsa04014;path:hsa05211;path:hsa05224;path:hsa04140;path:hsa05010;path:hsa04973;path:hsa04068;path:hsa04668;path:hsa05017;path:hsa05215;path:hsa05166;path:hsa04152;path:hsa04922;path:hsa04550;path:hsa05417;path:hsa04071;path:hsa04613;path:hsa05225;path:hsa05214;path:hsa04261;path:hsa04211;path:hsa05142;path:hsa04024;path:hsa04370;path:hsa04371;path:hsa04915;path:hsa05418;path:hsa04625;path:hsa05152;path:hsa04015;path:hsa04010;path:hsa05145;path:hsa04072;path:hsa05131;path:hsa05205;path:hsa04917;path:hsa05200;path:hsa05160;path:hsa04012;path:hsa04620;path:hsa04910;path:hsa04380;path:hsa05170;path:hsa04022;path:hsa04210;path:hsa04218;path:hsa04725;path:hsa05163;path:hsa05169;path:hsa05164;path:hsa05212;path:hsa05213;path:hsa05210;path:hsa04150;path:hsa04919;path:hsa05161;path:hsa05162;path:hsa04722;path:hsa05165;path:hsa05167;path:hsa05168;path:hsa04914;WP1449;WP185;WP2261;WP26;WP306;WP3287;WP382;WP3965;WP3929;WP3931;WP3932;WP4155;WP4172;WP4216;WP4223;WP4239;WP4255;WP4262;WP4263;WP4396;WP4481;WP4483;WP4539;WP4561;WP4564;WP4565;WP4566;WP4658;WP4666;WP4674;WP4685;WP4746;WP4806;WP673;WP710;WP75
IFNW1,path:hsa04630;path:hsa04622;path:hsa04060;WP4558
PEX11G,path:hsa04146
NEIL1,path:hsa03410
MESP2,WP2406;WP2854;WP4785
IL18RAP,path:hsa05321;path:hsa04060;path:hsa04061;WP4754
RPL39,path:hsa05171;path:hsa03010;WP477
NFE2L2,path:hsa05417;path:hsa05225;path:hsa04141;path:hsa05418;path:hsa05200;path:hsa05012;WP2586;WP2857;WP2873;WP2882;WP2884;WP3;WP3612;WP3613;WP3624;WP3670;WP408;WP4269;WP4357;WP4673;WP4674;WP4698;WP4874;WP4925
MSH6,path:hsa03430;path:hsa05200;path:hsa05210;WP2261;WP2446;WP4216;WP4946;WP531
HACD3,path:hsa01040;path:hsa00062
GTF2F2,path:hsa03022;WP405
MNX1,path:hsa04950
CDH10,WP4540;WP4541
NR3C2,path:hsa04960;WP3527;WP554
RBM8A,path:hsa03015;path:hsa03013;path:hsa03040
CD22,path:hsa04514;path:hsa04662;path:hsa04640;WP23
HES1,path:hsa03460;path:hsa05224;path:hsa04950;path:hsa05200;path:hsa04330;path:hsa05169;path:hsa05165;WP2064;WP268;WP2854;WP2873;WP2882;WP3593;WP3845;WP4147;WP4262;WP4657;WP4844;WP4879;WP61;WP706
NGF,path:hsa04750;path:hsa04151;path:hsa04014;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa04210;path:hsa04060;path:hsa04722;WP2380;WP382;WP3932;WP3998;WP4172;WP706
BCL2A1,path:hsa05221;path:hsa05202;path:hsa04210;path:hsa04064;WP1772;WP3614;WP3617;WP3872
SIAH2,WP2359;WP2853;WP3888
ARIH2,WP5072
ELMO3,path:hsa05100
GOT1L1,path:hsa00250;path:hsa00330;path:hsa00360;path:hsa00400;path:hsa00270;path:hsa00350;path:hsa00220
SLC44A2,path:hsa05231
PPT2,path:hsa04142;path:hsa00062;WP4754
PFDN2,WP4918
GJB2,WP2817;WP536
SLC17A7,path:hsa04724;path:hsa05033;path:hsa04721;path:hsa04723;WP2267
IFI16,path:hsa04621;WP615
RORA,path:hsa04710;path:hsa05321;path:hsa04659;path:hsa05017;WP170;WP236;WP3893;WP4149;WP706
CAMKK2,path:hsa04921;path:hsa04920;path:hsa05034;path:hsa04140;path:hsa04152;path:hsa04211;WP1403;WP3888;WP4874
TRIM28,WP2355;WP2857;WP3878;WP4538
EVL,path:hsa04015
LAMC3,path:hsa04512;path:hsa04510;path:hsa04151;path:hsa05222;path:hsa05146;path:hsa05145;path:hsa05200;path:hsa05165;WP306;WP3932;WP4172;WP4658
UBE2N,path:hsa04120;path:hsa05131;WP195;WP3656;WP3877;WP4906
IST1,path:hsa04144
RFX6,path:hsa04950
FLCN,path:hsa05211;path:hsa04150;WP4803
PDK1,path:hsa05230;path:hsa04066;WP2583;WP366;WP3844;WP3850;WP3863;WP4255;WP4549;WP4566;WP4707;WP4871;WP4760;WP5050;WP581;WP710
CDC42,path:hsa04660;path:hsa04510;path:hsa05100;path:hsa04666;path:hsa05132;path:hsa05135;path:hsa04520;path:hsa04932;path:hsa04933;path:hsa04530;path:hsa04062;path:hsa04912;path:hsa04014;path:hsa05211;path:hsa04810;path:hsa05120;path:hsa05417;path:hsa04360;path:hsa04370;path:hsa04015;path:hsa04010;path:hsa05131;path:hsa05130;path:hsa05205;path:hsa05200;path:hsa05203;path:hsa04670;path:hsa04144;path:hsa05212;path:hsa04722;path:hsa05165;WP138;WP1471;WP185;WP1984;WP2018;WP2034;WP2038;WP2249;WP2272;WP2290;WP23;WP2324;WP2380;WP2431;WP306;WP366;WP382;WP3888;WP3929;WP3941;WP400;WP4217;WP4223;WP4263;WP437;WP4396;WP4540;WP4657;WP4659;WP51;WP524;WP69;WP710
FPR1,path:hsa04613;path:hsa05150;path:hsa04015;path:hsa04080;WP24;WP2806;WP455
AXIN1,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05200;path:hsa05213;path:hsa05210;path:hsa05165;WP2064;WP2857;WP2864;WP2870;WP363;WP366;WP3664;WP3680;WP3931;WP399;WP4155;WP4216;WP4258;WP4262;WP428;WP4336;WP4872;WP4844;WP4879;WP710
NCOA1,path:hsa05224;path:hsa04915;path:hsa05200;path:hsa04919;WP138;WP1541;WP2034;WP236;WP2873;WP2875;WP2876;WP2882;WP364;WP4262
ASCL1,WP2064;WP2855;WP5074;WP706
CNP,WP2276;WP3584;WP3888;WP4767
OFD1,WP4536;WP4656;WP4803
HPRT1,path:hsa00983;path:hsa00230;WP2857;WP404
PTPRF,path:hsa04514;path:hsa04520;path:hsa04931;path:hsa04910;WP2380;WP481
NEK9,WP4803
RPS6KA6,path:hsa05135;path:hsa04931;path:hsa04114;path:hsa04720;path:hsa04714;path:hsa04010;path:hsa04150;path:hsa04722;path:hsa04914;WP3915;WP4321;WP4746;WP477;WP481
SYMPK,path:hsa04530;path:hsa03015
ARHGEF15,WP3888
SULT1A2,path:hsa05204;WP692;WP694;WP702
ZNF699,path:hsa05168
VPS45,path:hsa04144
LPP,WP4560
ENOSF1,path:hsa00051
GGH,path:hsa00790;WP1601
EPB41L2,WP4148
PEX26,path:hsa04146
RPL37A,path:hsa05171;path:hsa03010;WP477
UQCRB,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa04260;path:hsa05012;WP111;WP4396;WP4921
ARMC5,path:hsa04934
HLA-DRA,path:hsa04514;path:hsa05330;path:hsa05332;path:hsa05416;path:hsa05322;path:hsa05320;path:hsa05321;path:hsa04659;path:hsa04658;path:hsa04940;path:hsa04145;path:hsa05166;path:hsa05310;path:hsa05150;path:hsa04640;path:hsa05152;path:hsa05140;path:hsa05145;path:hsa05323;path:hsa04612;path:hsa04672;path:hsa05169;path:hsa05164;path:hsa05168;WP2328;WP4141;WP4217;WP4673;WP4884;WP530
ATG9A,path:hsa04140;path:hsa04136;path:hsa04137;WP4923
TAF4B,path:hsa05016;path:hsa03022
RAN,path:hsa03008;path:hsa05166;path:hsa03013;WP138;WP2338;WP4657
NRIP1,WP236;WP2586;WP2814;WP2876;WP2877;WP2882;WP34;WP3599
GCC1,WP2882
ANKS1B,WP2858
ASAP1,path:hsa04666;path:hsa04144;WP437
BLVRB,path:hsa00740;path:hsa00860;WP2882;WP2884;WP4495
COX6A2,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa04260;path:hsa05012;WP111;WP4396
TBPL2,path:hsa05016;path:hsa05017;path:hsa05166;path:hsa03022;path:hsa05203;path:hsa05165
ZFP82,path:hsa05168
SYT1,path:hsa04721;WP2267
DARS2,path:hsa00970
EXO1,path:hsa03430;WP4946;WP531
KANSL1,WP3651
RPL27,path:hsa05171;path:hsa03010;WP3888;WP477
SERPINA7,path:hsa04918
MAGI3,path:hsa04015
GRIK5,path:hsa04724;path:hsa04080
CKAP4,path:hsa04141
ACP5,path:hsa04142;path:hsa00740;path:hsa05323;path:hsa04380;WP12;WP2018
CACNG4,path:hsa04921;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa04261;path:hsa04010;path:hsa04260;WP2118;WP382
ZCCHC7,path:hsa03018
VAPA,path:hsa04979;WP410
HSD17B2,path:hsa00140;path:hsa04913;WP2877;WP496
SLC19A1,path:hsa04977;WP176;WP3996
MTMR4,path:hsa00562;path:hsa04140;path:hsa04070
KRT35,path:hsa05150;path:hsa04915
DUSP16,path:hsa04010;WP382
MLYCD,path:hsa00410;path:hsa00640;path:hsa04146;path:hsa04152
TDG,path:hsa03410;WP1601;WP4752;WP4946
CRABP2,WP4255;WP716
APP,path:hsa05022;path:hsa04726;path:hsa05010;WP2059;WP2853;WP2864;WP3286;WP366;WP4549
PHLPP2,path:hsa04151;WP3932;WP4172
PSAP,path:hsa04142;path:hsa00600
POLR3C,path:hsa04623;path:hsa03020;WP4022;WP4655
FA2H,WP4577
NGEF,path:hsa04360;WP4564;WP4565
TLN1,path:hsa04611;path:hsa04510;path:hsa05166;path:hsa04015;path:hsa05131;WP185;WP2572;WP306
ADAM19,WP2857
GDF7,path:hsa04350;path:hsa04390;path:hsa04360;path:hsa04060
EXOSC4,path:hsa03018;WP4352
TRIM37,path:hsa04120
ZNF490,path:hsa05168
GLIS2,WP4803
THEM4,path:hsa04151;path:hsa00062;WP4172
STK19,WP4685
SIVA1,path:hsa04115;WP4963
EIF2B1,path:hsa03013;path:hsa05168;WP107
MSH5,WP34;WP4673
PFKP,path:hsa00010;path:hsa00051;path:hsa05230;path:hsa04066;path:hsa04152;path:hsa04922;path:hsa03018;path:hsa00052;path:hsa00030;path:hsa04919;WP1946;WP4018;WP534
ZNF805,path:hsa05168
CR2,path:hsa04610;path:hsa04662;path:hsa04640;path:hsa05169;WP23;WP2806;WP3941;WP4950;WP558
SPDYE4,path:hsa04114;path:hsa04914
PEX5,path:hsa04146
LBR,path:hsa00100;WP2363;WP3878;WP4535;WP4718;WP4804
MYLPF,path:hsa04510;path:hsa05132;path:hsa04810;path:hsa05131;path:hsa04670;WP306
PMCH,path:hsa04080
OPN3,WP455
SF3B1,path:hsa03040;WP411
ERRFI1,WP2261;WP437
PRSS3,path:hsa04974;path:hsa04972;path:hsa04080;path:hsa05164
PPP2R2A,path:hsa04151;path:hsa04728;path:hsa04530;path:hsa03015;path:hsa04152;path:hsa04071;path:hsa04261;path:hsa04390;path:hsa05142;path:hsa05160;path:hsa05165;WP399;WP4172;WP500
CLCF1,path:hsa04060
AZI2,path:hsa04622;WP3865
PBK,WP3879;WP3888
INPP4A,path:hsa00562;path:hsa04070;WP481
EPB41,WP3888;WP4148;WP4754
NMD3,path:hsa03008;path:hsa03013
NKRF,WP4884
TANGO2,WP4657
YBX1,WP2380;WP3584;WP411;WP706
WIPF1,path:hsa05135;path:hsa05130;path:hsa04144
DHTKD1,path:hsa00380;path:hsa00310;WP1984
BMP2,path:hsa04350;path:hsa05217;path:hsa04390;path:hsa05200;path:hsa04060;WP1591;WP1425;WP236;WP2380;WP2895;WP3670;WP3876;WP3888;WP4659;WP4754;WP4767;WP4787;WP4879;WP615
PDIA6,path:hsa04141;WP3613;WP3888
AIM2,path:hsa04623;path:hsa04621;WP1433;WP4655
CYP27A1,path:hsa04979;path:hsa00120;path:hsa03320;WP1531;WP3942;WP43;WP4545;WP4698;WP4718;WP5064;WP702
CYP2S1,path:hsa00830;path:hsa00980;WP2877;WP43;WP702
SKAP1,path:hsa04015;WP69
MBOAT1,path:hsa00561;path:hsa00564;WP3664
PTPRJ,path:hsa04520;WP3888
CHRNA4,path:hsa05033;path:hsa04080;path:hsa04725;WP1602;WP706
MTREX,path:hsa03018
ABL2,path:hsa05416;path:hsa04014;path:hsa04012;WP4223;WP4298;WP673
IL13RA2,path:hsa04630;path:hsa04060
MMP15,path:hsa04928;WP129;WP4239
GGA3,path:hsa04142
WNT16,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa05202;path:hsa04916;path:hsa04150;path:hsa05165;WP3680;WP3931;WP399;WP4150;WP4239;WP4258;WP4262;WP428;WP4336;WP4787;WP710
POLE,path:hsa03410;path:hsa03030;path:hsa03420;WP2446;WP4022;WP45;WP466;WP4752;WP4753;WP4946;WP531
FGF23,path:hsa04928;path:hsa04151;path:hsa05218;path:hsa05226;path:hsa04014;path:hsa05224;path:hsa04810;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa05200;WP2877;WP322;WP382;WP3931;WP4172;WP4262;WP4790;WP51
PLXNC1,path:hsa04360
SORCS1,WP2858
SQOR,path:hsa00920
GSTO2,path:hsa00480;path:hsa05225;path:hsa05418;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa05204;path:hsa05200;WP702
VIPR1,path:hsa04080;WP334;WP706
TIE1,WP3303
HOXA10,path:hsa05202
BAG2,path:hsa04141
ARFGAP3,path:hsa04144;WP4352
SMR3B,WP4963
RELB,path:hsa05166;path:hsa04625;path:hsa04010;path:hsa04380;path:hsa04064;path:hsa05169;WP2018;WP2036;WP2203;WP3617;WP382;WP3858;WP3930;WP4217;WP4329;WP4341
CYP3A4,path:hsa00830;path:hsa00140;path:hsa04976;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00591;path:hsa05204;WP1604;WP206;WP2289;WP229;WP2646;WP2816;WP2874;WP2875;WP2876;WP2877;WP2879;WP2882;WP299;WP3869;WP3915;WP43;WP4545;WP465;WP4969;WP691;WP696;WP697;WP699;WP702
GRM7,path:hsa04724;path:hsa04072;path:hsa04080;WP4754;WP501
PPP1R14A,path:hsa04270;WP4541;WP4962
FOSL2,path:hsa04380;WP2355
MAN1C1,path:hsa00513;path:hsa00510;path:hsa04141
HDAC11,path:hsa05034;path:hsa04613;path:hsa05203;WP2064
TTK,path:hsa04110;WP179;WP2446
CCNB3,path:hsa04110;path:hsa04068;path:hsa05170;path:hsa04218;path:hsa04914;WP179;WP1530;WP707
MTA2,WP4320
PRRC2C,WP3888
C6,path:hsa04610;path:hsa05020;path:hsa05171;path:hsa05322;WP2328;WP2806;WP4493;WP545;WP558
STT3A,path:hsa00513;path:hsa00510;path:hsa04141
FAN1,path:hsa03460;WP4942;WP4946
DNAJB13,WP4803
SOX1,WP2406;WP363
PLEK,WP3945;WP3947;WP3944
TRIM32,path:hsa04120;WP4803
SNAP29,path:hsa04140;path:hsa04130;WP4352;WP4657
NDUFAF3,path:hsa04714
CARD6,path:hsa04621;WP1433
CIP2A,WP4747
BRD7,path:hsa05225
UQCC1,WP4352;WP4921
RARS2,path:hsa00970
SMAD1,path:hsa04350;path:hsa04550;path:hsa04390;path:hsa05202;WP1591;WP1425;WP1539;WP2064;WP2857;WP2895;WP3876;WP3927;WP3931;WP4331;WP4787;WP4816;WP5053;WP560
PIGM,path:hsa00563;WP4906
MSH3,path:hsa03430;path:hsa05200;path:hsa05210;WP4216;WP4946
SEC22B,path:hsa05134;path:hsa04145;path:hsa04130
ENPP1,path:hsa00240;path:hsa00760;path:hsa00500;path:hsa00770;path:hsa00740;path:hsa00230;WP4022;WP474;WP4790;WP4808;WP481
SERPINA3,WP176;WP15;WP1533
USP41,WP4286;WP4657
NDUFA10,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;path:hsa04723;WP111;WP4396;WP623
MRPL20,path:hsa03010
EHBP1,WP4352
SNX18,path:hsa05132
TNFSF10,path:hsa05132;path:hsa04068;path:hsa05417;path:hsa04217;path:hsa04650;path:hsa05130;path:hsa04210;path:hsa04060;path:hsa04061;path:hsa05164;WP1742;WP1772;WP254
TBC1D7,path:hsa04150;WP4549
CARM1,WP138;WP4947
DHX29,WP3888
RPS27,path:hsa05171;path:hsa03010;WP4286;WP477
CD274,path:hsa04514;path:hsa05235;WP4559;WP4585
SLC1A3,path:hsa04724;path:hsa05016;path:hsa04721;WP2267;WP706
RLN1,path:hsa04926;path:hsa04080;WP138;WP289
MTERF1,WP391
TERF2IP,WP4148
CD1B,path:hsa04530;path:hsa05146;path:hsa04640
STK10,path:hsa04914
PSMA8,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa05012
OSTM1,WP4788
OCA2,WP3998
INHBB,path:hsa04350;path:hsa04550;path:hsa04060;WP2324;WP3927
NPY2R,path:hsa04080;WP24;WP455
MSRB2,WP2542;WP3580
WNT10B,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP236;WP3931;WP399;WP4149;WP4150;WP4239;WP4258;WP4262;WP428;WP4336;WP4787;WP4844;WP4879;WP710
MMP25,path:hsa04928;WP129;WP4884
CROT,path:hsa04146
PTCH1,path:hsa05217;path:hsa04360;path:hsa04024;path:hsa05205;path:hsa05200;path:hsa04340;WP3930;WP4204;WP4249;WP47;WP474;WP4787;WP4808
C1D,path:hsa03018
PNOC,WP2877
SRSF8,path:hsa03040;path:hsa05168
PDLIM5,WP4300
RELN,path:hsa04512;path:hsa04510;path:hsa04151;path:hsa05017;path:hsa05165;WP306;WP3932;WP4172;WP4657
GNAT1,path:hsa04744;WP4900
COX14,path:hsa04714;WP4922
MAP3K12,path:hsa04010;WP382;WP3915;WP422;WP481
AMY2B,path:hsa00500;path:hsa04973;path:hsa04970;path:hsa04972
EDA,path:hsa04064;path:hsa04060;WP2858;WP3930
MAS1,path:hsa04614;path:hsa05171;path:hsa04080;WP455;WP4883;WP554
ZNF587,path:hsa05168
BTG2,path:hsa03018;WP2431;WP4286;WP4754;WP4963
STAT3,path:hsa05223;path:hsa05171;path:hsa04920;path:hsa05235;path:hsa04931;path:hsa04933;path:hsa04935;path:hsa04066;path:hsa04630;path:hsa04062;path:hsa05221;path:hsa05321;path:hsa04659;path:hsa04068;path:hsa04550;path:hsa05417;path:hsa04217;path:hsa05145;path:hsa05205;path:hsa04917;path:hsa05206;path:hsa05200;path:hsa05203;path:hsa05160;path:hsa05163;path:hsa05169;path:hsa05212;path:hsa05161;path:hsa05162;path:hsa05167;WP127;WP138;WP1528;WP1544;WP1559;WP2023;WP2029;WP2032;WP2034;WP2037;WP2038;WP205;WP2112;WP22;WP2203;WP2324;WP2332;WP236;WP2374;WP2380;WP2815;WP2855;WP286;WP2868;WP2881;WP2882;WP304;WP313;WP4300;WP3303;WP364;WP3646;WP395;WP3888;WP3892;WP3929;WP3931;WP3935;WP3995;WP4018;WP4255;WP4263;WP4298;WP4337;WP437;WP4495;WP4538;WP4559;WP4561;WP4564;WP4565;WP4585;WP4659;WP4666;WP4806;WP4816;WP4829;WP49;WP5063;WP560;WP581;WP585;WP61;WP733
COL25A1,path:hsa04974
USP25,path:hsa04657
BAD,path:hsa05020;path:hsa05022;path:hsa05223;path:hsa05220;path:hsa04510;path:hsa04151;path:hsa05218;path:hsa04062;path:hsa05221;path:hsa04014;path:hsa05211;path:hsa04140;path:hsa05010;path:hsa05014;path:hsa05215;path:hsa05417;path:hsa05225;path:hsa04024;path:hsa04370;path:hsa05152;path:hsa05145;path:hsa05200;path:hsa05203;path:hsa05160;path:hsa04012;path:hsa04910;path:hsa05170;path:hsa04022;path:hsa04210;path:hsa05212;path:hsa05213;path:hsa05210;path:hsa04919;path:hsa05161;path:hsa05162;path:hsa04722;path:hsa05165;path:hsa05168;WP1772;WP2034;WP205;WP2059;WP231;WP2380;WP2447;WP254;WP286;WP304;WP306;WP3303;WP364;WP3844;WP395;WP3932;WP3941;WP4008;WP4155;WP4172;WP4216;WP4223;WP4255;WP4263;WP4864;WP4659;WP4666;WP4685;WP4746;WP4754;WP4806;WP673;WP710
LILRA6,path:hsa04662;path:hsa04380
AEBP2,WP2369;WP2857;WP2916
MRPL3,path:hsa03010
PFN2,path:hsa05132;path:hsa05014;path:hsa04810;path:hsa04015;path:hsa05131;WP3680
FAM120A,WP3888
SCTR,path:hsa04976;path:hsa04972;path:hsa04080;WP334
DGAT1,path:hsa00830;path:hsa00561;path:hsa04975;WP325;WP430;WP4722;WP716
FCGR1A,path:hsa04666;path:hsa05322;path:hsa05221;path:hsa04145;path:hsa04613;path:hsa05150;path:hsa04640;path:hsa05152;path:hsa05140;path:hsa05202;path:hsa04380;WP3937
CORT,path:hsa04080
IRF4,path:hsa04659;WP23;WP254;WP2877;WP3527;WP3892;WP3995;WP4149;WP619;WP69
IL2RB,path:hsa04151;path:hsa04630;path:hsa04659;path:hsa04658;path:hsa05166;path:hsa05200;path:hsa05202;path:hsa04144;path:hsa04060;path:hsa04061;path:hsa05162;WP3932;WP4172;WP453;WP4538;WP4559;WP49;WP5063
CPEB3,path:hsa04114;path:hsa04914
RRP7A,path:hsa03008
P2RY2,path:hsa04750;path:hsa04080;WP455;WP4900;WP80
MTAP,path:hsa00270;WP3580
EOMES,WP2853;WP2857;WP3893
HHEX,path:hsa04950;path:hsa05202;WP2853
DGKD,path:hsa00561;path:hsa00564;path:hsa05231;path:hsa04070;path:hsa04072
VAMP1,path:hsa04130
DPM1,path:hsa00510;WP3888
SRSF5,path:hsa03040;path:hsa05168;WP411
ITGAV,path:hsa04514;path:hsa04512;path:hsa04510;path:hsa04151;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa05222;path:hsa04145;path:hsa04810;path:hsa05418;path:hsa05205;path:hsa05200;path:hsa05163;path:hsa04919;path:hsa05165;WP1434;WP185;WP2118;WP2572;WP306;WP322;WP3301;WP3888;WP3932;WP4172;WP4217;WP4541;WP4560;WP4658;WP4746
ESM1,WP2361
ITGA9,path:hsa04514;path:hsa04512;path:hsa04510;path:hsa04151;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa04810;path:hsa05165;WP185;WP2118;WP306;WP3932;WP4172;WP4541
ONECUT1,path:hsa04950;path:hsa04550;WP2853
KRT31,path:hsa05150;path:hsa04915;WP4754
PTX3,WP2806;WP3624;WP4754
LEFTY2,path:hsa04350;path:hsa04550;WP2023;WP2029;WP2857;WP3876;WP4816;WP560
MCHR2,path:hsa04080;WP117
ALDH3A2,path:hsa00380;path:hsa00620;path:hsa00330;path:hsa00010;path:hsa00561;path:hsa00410;path:hsa00310;path:hsa00770;path:hsa00340;path:hsa00071;path:hsa00053;path:hsa00280;WP4549;WP465;WP4966
USH1C,WP4352
UBA6,path:hsa04120
DGKA,path:hsa00561;path:hsa00564;path:hsa05231;path:hsa04070;path:hsa04072;WP5072
RFC4,path:hsa03430;path:hsa03030;path:hsa03420;WP2363;WP2446;WP466;WP4753;WP4946;WP531
CYP7B1,path:hsa00140;path:hsa00120;WP43;WP465;WP702
B3GALT6,path:hsa00532;path:hsa00534;WP4784
CKM,path:hsa00330
MAP3K9,WP3915;WP3941;WP400;WP4535;WP481;WP4877
PRNP,path:hsa05020;path:hsa05022;path:hsa04216;WP2806;WP3286;WP3995;WP4313
IL6,path:hsa05020;path:hsa05022;path:hsa05171;path:hsa04151;path:hsa05133;path:hsa05132;path:hsa05135;path:hsa05134;path:hsa05332;path:hsa04931;path:hsa04932;path:hsa04933;path:hsa04066;path:hsa04630;path:hsa05410;path:hsa05321;path:hsa04659;path:hsa05010;path:hsa05146;path:hsa04068;path:hsa05143;path:hsa04668;path:hsa05166;path:hsa05144;path:hsa04623;path:hsa05417;path:hsa05142;path:hsa04621;path:hsa04625;path:hsa04640;path:hsa04657;path:hsa05152;path:hsa05130;path:hsa05323;path:hsa05200;path:hsa05202;path:hsa04620;path:hsa04060;path:hsa04061;path:hsa04218;path:hsa04672;path:hsa05163;path:hsa05169;path:hsa05164;path:hsa05161;path:hsa05162;path:hsa05167;path:hsa05168;WP176;WP1449;WP15;WP1533;WP2036;WP2203;WP231;WP236;WP2431;WP2848;WP289;WP4300;WP3287;WP3599;WP3617;WP3624;WP364;WP3646;WP3851;WP3893;WP4136;WP4172;WP4298;WP4329;WP4337;WP4341;WP4396;WP4480;WP4481;WP4482;WP4493;WP4495;WP4496;WP4655;WP4666;WP4754;WP4806;WP4884;WP4891;WP4970;WP5046;WP5063;WP530;WP615;WP69;WP706;WP75
WNT8B,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP4239;WP4787
CSF2,path:hsa04660;path:hsa05171;path:hsa04664;path:hsa04630;path:hsa05221;path:hsa05146;path:hsa04668;path:hsa05166;path:hsa04640;path:hsa04657;path:hsa04650;path:hsa05131;path:hsa05323;path:hsa05202;path:hsa04060;path:hsa05167;WP3617;WP3624;WP3863;WP3892;WP4494;WP530
EPHA7,path:hsa04360
CSNK1D,path:hsa04710;path:hsa04540;path:hsa04390;path:hsa04340;WP1984;WP3298;WP363;WP4249
