Interactor 1,Interactor 2,is_directed,BIOGRID,pathway,complex,Confidence
SMAD3,SNW1,0.0,True,True,True,0.89
SMAD3,FOXH1,0.0,True,True,True,0.96
SMAD3,STRAP,-1.0,True,True,True,0.84
SMAD3,CREBBP,1.0,True,True,True,0.999
SMAD3,TGFBR2,-1.0,True,True,True,0.989
SMAD3,TGFBR1,-1.0,True,True,True,0.999
SMAD3,E2F4,1.0,True,True,True,0.79
SMAD3,EP300,1.0,True,True,True,0.86
SMAD3,SOX9,1.0,True,True,True,0.63
SMAD3,PITX2,1.0,True,True,True,0.63
SMAD3,CEBPA,-1.0,True,True,True,0.75
SMAD3,NOTCH1,1.0,True,True,True,0.991
SMAD3,TGIF1,0.0,True,True,True,0.85
SMAD3,WWP2,0.0,True,True,False,0.9
SMAD3,HEY1,1.0,True,True,False,0.73
SMAD3,BRCA1,-1.0,True,True,True,0.81
SMAD3,RUNX2,-1.0,True,True,True,0.89
SMAD3,RUNX3,0.0,True,True,True,0.85
SMAD3,HIF1A,0.0,True,True,True,0.89
SMAD3,JUN,1.0,True,True,True,0.9
SMAD3,FOS,0.0,True,True,True,0.88
SMAD3,PAX6,-1.0,True,True,True,0.63
SMAD3,PAX8,-1.0,False,True,False,0.55
SMAD3,ESR1,1.0,True,True,True,0.77
SMAD3,FOXO1,1.0,True,True,True,0.74
SMAD3,PIN1,0.0,True,True,True,0.9
SMAD3,CEBPB,-1.0,True,True,True,0.85
SMAD3,GSC,-1.0,False,False,False,0.52
SMAD3,MYC,-1.0,True,True,True,0.79
SMAD3,DDX5,0.0,True,True,True,0.89
SMAD3,TFE3,0.0,True,True,False,0.86
SMAD3,CDC25A,-1.0,True,True,False,0.95
SMAD3,RBL1,1.0,True,True,True,0.88
SMAD3,PIAS4,1.0,True,True,False,0.88
SMAD3,JUNB,0.0,True,True,False,0.89
SMAD3,NR3C1,-1.0,True,True,True,0.963
SMAD3,AR,1.0,True,True,True,0.998
SMAD3,ATF3,0.0,True,True,True,0.89
MUS81,SLX4,0.0,True,True,False,0.9
MUS81,EME1,0.0,True,True,True,0.9
PLRG1,CUL3,0.0,True,True,True,0.86
PLRG1,CDC5L,0.0,True,True,True,0.9
PLRG1,SNW1,0.0,True,True,True,0.95
PLRG1,ISY1,0.0,True,True,True,0.87
CKS1B,CDKN1B,1.0,True,True,True,0.99
CKS1B,SKP2,1.0,True,True,True,0.999
CKS1B,CDK1,1.0,True,True,True,0.999
HAUS7,HAUS6,0.0,True,False,True,0.87
SPTLC1,ABCA1,-1.0,True,True,False,0.755
TCEA1,UBR5,1.0,True,False,False,0.85
KDM2A,RELA,-1.0,True,False,False,0.54351985
BFAR,CASP8,-1.0,True,False,True,0.67
ABCD2,PEX19,0.0,True,True,False,0.89
MCF2L,RHOA,1.0,True,False,False,0.89
MCF2L,CDC42,1.0,True,False,False,0.9
LEO1,CDC73,0.0,True,True,True,0.9
LEO1,WDR61,0.0,True,True,True,0.87
LEO1,PAF1,0.0,True,True,True,0.9
LEO1,RTF1,0.0,True,True,False,0.9
LEO1,CTR9,0.0,True,True,True,0.9
SPHK1,TRAF2,0.0,True,True,False,0.9
IPO11,RAN,0.0,True,False,True,0.87
CUEDC2,PGR,-1.0,True,True,False,0.6756279
SIRPA,PTPN6,-1.0,True,True,False,0.976
IFT81,IFT88,0.0,True,True,True,0.88
IFT88,IFT46,0.0,True,True,True,0.89
SP2,IRF1,1.0,True,False,False,0.63
CNTF,IL6ST,1.0,False,True,True,0.985
CNTF,LIFR,1.0,False,True,True,0.96
CNTF,CNTFR,1.0,True,True,True,0.97
MCM10,CCND3,0.0,True,True,False,0.87
MCM10,ORC2,0.0,True,True,False,0.9
MCM10,MCM7,0.0,True,True,False,0.9
MCM10,MCM6,0.0,True,True,False,0.9
MCM10,MCM3,0.0,True,True,False,0.87
MCM10,MCM2,0.0,True,True,False,0.87
SP4,CRX,1.0,True,False,False,0.63
ATG4B,GABARAPL2,1.0,True,True,False,0.998
ATG4B,GABARAP,1.0,True,True,False,0.999
ATG4B,MAP1LC3C,1.0,True,True,False,0.994
ATG4B,MAP1LC3B,1.0,True,True,False,0.999
ATG4A,GABARAPL2,1.0,True,True,False,0.993
CFB,C3,1.0,True,True,False,0.999
LTBP1,TGFB1,0.0,True,True,False,0.9
CSK,CAV1,0.0,True,True,True,0.88
CSK,PECAM1,1.0,True,True,True,0.937
CSK,FGR,-1.0,False,True,False,0.62
CSK,LYN,-1.0,False,True,True,0.52
CSK,PXN,1.0,True,True,True,0.999
CSK,SHC1,1.0,True,True,True,0.89
CSK,HCK,-1.0,False,True,False,0.52
CSK,CBL,0.0,True,True,True,0.86
CSK,CD3E,1.0,True,True,False,0.56
CSK,LCK,-1.0,True,True,True,0.84
CSK,SRC,-1.0,True,True,True,0.89
CSK,PTK2,1.0,True,True,True,0.939
CSK,EGFR,0.0,True,True,True,0.9
CSK,CD247,1.0,True,True,True,0.968
CSK,FYN,1.0,True,True,True,0.87
CSK,PTPRC,1.0,False,True,True,0.86
RLN1,RXFP1,1.0,False,True,False,0.99
SIX1,EYA4,0.0,True,False,True,0.93
SIX1,EYA1,-1.0,True,True,True,1.0
SIX2,TLE1,0.0,True,True,True,0.88
SIX2,EYA1,0.0,True,True,True,0.98
SIX3,NR4A3,0.0,True,True,False,0.9
SIX3,PAX6,1.0,True,True,True,0.75
CHFR,PLK1,-1.0,True,False,False,0.76
RFX5,RFXAP,0.0,True,True,True,0.89
APP,GAPDH,-1.0,True,True,True,0.98
APP,MAPK10,1.0,True,True,True,0.943
APP,MAPK8,1.0,True,True,False,0.954
APP,APBA2,-1.0,True,True,False,0.999
APP,NAE1,1.0,True,True,True,0.997
APP,GSK3B,1.0,True,True,True,0.936
APP,BACE1,1.0,True,True,True,0.999
APP,NOTCH1,1.0,True,True,True,0.988
NRXN3,NLGN2,1.0,True,True,False,0.969
NRXN3,NLGN3,1.0,True,True,False,0.953
NRXN3,NLGN1,1.0,True,True,False,0.991
NRXN2,NLGN2,1.0,True,True,False,0.998
NRXN2,NLGN3,1.0,False,True,False,0.989
NRXN2,NLGN1,1.0,True,True,False,0.998
NRXN1,NLGN2,1.0,True,True,False,0.991
NRXN1,NLGN3,1.0,True,True,False,0.996
NRXN1,NLGN1,1.0,True,True,True,0.999
APC,ARHGEF4,1.0,True,True,False,0.999
APC,CTBP1,1.0,True,True,True,0.94
APC,PCNA,-1.0,True,True,True,0.63
APC,BUB1,0.0,True,True,True,0.87
APC,SIAH1,0.0,True,True,True,0.9
APC,ASAP1,0.0,True,True,True,0.88
APC,CTNNB1,-1.0,True,True,True,0.999
APC,DVL2,0.0,True,True,True,0.86
GGCX,F7,1.0,False,True,False,0.979
GGCX,F9,1.0,False,True,False,0.97
GGCX,BGLAP,1.0,False,True,False,0.976
GGCX,F10,1.0,False,True,False,0.937
GGCX,PROC,1.0,False,True,False,0.961
ADNP,MAP1LC3B,1.0,True,False,False,0.754
STXBP6,SNAP25,-1.0,False,False,False,0.836
KHDRBS1,CREBBP,-1.0,True,True,True,0.873
KHDRBS1,PTK6,-1.0,True,True,False,0.969
LHCGR,GNAS,1.0,False,True,True,0.916
LHCGR,ARRB2,1.0,True,True,True,0.943
IGFBP2,IGF2,-1.0,True,True,True,0.996
IGFBP2,IGF1,-1.0,True,True,True,0.997
IGFBP3,IGF2,-1.0,True,True,True,0.999
IGFBP3,IGF1,-1.0,True,True,True,0.999
IGFBP3,IGFALS,1.0,True,True,True,0.979
IGFBP1,IGF2,-1.0,True,True,False,0.998
IGFBP6,IGF2,-1.0,True,True,False,0.996
IGFBP6,IGF1,-1.0,False,True,False,0.954
IGFBP7,INS,-1.0,True,True,False,0.991
IGFBP4,IGF2,-1.0,True,True,False,0.996
IGFBP4,IGF1,-1.0,True,True,False,0.999
IGFBP5,IGF2,-1.0,True,True,True,0.996
IGFBP5,IGF1,-1.0,True,True,True,0.999
IGFBP5,IGFALS,1.0,True,True,True,0.944
GJA1,MAPK7,1.0,True,True,False,0.937
KDM3A,AR,1.0,True,True,False,0.888
APIP,APAF1,-1.0,True,True,False,0.987
EIF2B4,EIF2B2,1.0,True,True,True,0.999
EIF2B4,EIF2B3,1.0,True,True,True,0.999
EIF2B5,EIF2B2,1.0,True,True,True,0.999
EIF2B5,EIF2B3,1.0,True,True,True,0.999
EIF2B5,EIF2S1,1.0,False,True,True,0.999
EIF2B5,EIF2S3,1.0,True,True,True,0.999
EIF2B5,EIF2S2,1.0,False,True,True,0.999
EIF2B2,EIF2B3,1.0,True,True,True,0.999
EIF2B1,EIF2S1,1.0,True,True,True,0.999
PRKAR2A,PRKACA,-1.0,True,True,True,0.998
PRKAR2A,PRKACB,-1.0,True,True,False,0.998
PRKAR2B,PRKACB,-1.0,True,True,False,0.998
PRKAR2B,PRKACA,-1.0,True,True,True,0.999
MAGT1,STT3B,0.0,True,False,True,0.89
TXNIP,HDAC1,0.0,True,True,False,0.89
TXNIP,ITCH,0.0,True,True,False,0.89
FANCF,FANCE,0.0,True,True,True,0.89
FANCF,FANCC,0.0,True,True,True,0.86
FANCF,FANCA,0.0,True,True,True,0.9
MECOM,HDAC1,1.0,True,True,True,0.923
MECOM,CTBP1,1.0,True,True,True,0.983
MECOM,CTBP2,1.0,True,True,True,0.919
FANCE,FANCG,0.0,True,True,True,0.9
FANCE,FANCD2,1.0,True,True,True,0.999
FANCE,FANCC,1.0,True,True,True,0.9
FANCE,FANCA,1.0,True,True,True,0.9
FANCE,FANCM,1.0,True,True,True,0.87
